UIC;Gare enquêtée;Motif du déplacement;Répartition;Année
171009;Reims;Déplacement professionnel occasionnel;14;2019
113001;Paris Est;Loisirs, vacances, visite d'un proche ou ami;16;2015
113001;Paris Est;Démarches administratives, médicales ou achat;2;2015
212027;Strasbourg;Déplacement domicile - travail habituel;42;2019
141002;Nancy;Démarches administratives, médicales ou achat;5;2017
192039;Metz;Démarches administratives, médicales ou achat;4;2019
182014;Colmar;Déplacement professionnel occasionnel;13;2019
;Paris Bercy;Déplacement domicile - travail habituel;50;2015
;Paris Bercy;Déplacement professionnel occasionnel;18;2015
300863;Besançon Franche-Comté TGV;Déplacement domicile - travail habituel;16;2018
300822;Belfort Montbéliard TGV;Déplacement domicile - étude (y compris stage);3;2018
111849;Marne la Vallée Chessy;Loisirs, vacances, visite d'un proche ou ami;52;2016
300822;Belfort Montbéliard TGV;Déplacement domicile - travail habituel;11;2018
411017;Rouen Rive Droite;Déplacement domicile - étude (y compris stage);26;2017
411017;Rouen Rive Droite;Démarches administratives, médicales ou achat;4;2017
286005;Lille Flandres;Loisirs, vacances, visite d'un proche ou ami;15;2016
271007;Paris Nord;Démarches administratives, médicales ou achat;3;2015
393702;Massy TGV;Déplacement professionnel occasionnel;62;2016
393702;Massy TGV;;0;2016
581009;Bordeaux Saint-Jean;Déplacement professionnel occasionnel;22;2017
484006;Angers Saint Laud;Déplacement domicile - travail habituel;41;2018
583005;Angoulême;Déplacement domicile - étude (y compris stage);20;2015
575001;Poitiers;Loisirs, vacances, visite d'un proche ou ami;29;2018
476002;Lorient;Déplacement domicile - étude (y compris stage);15;2013
471003;Rennes;Déplacement domicile - étude (y compris stage);11;2017
476002;Lorient;Démarches administratives, médicales ou achat;2;2013
571000;Tours;Loisirs, vacances, visite d'un proche ou ami;21;2019
478404;Laval;Loisirs, vacances, visite d'un proche ou ami;29;2014
444000;Caen;Déplacement domicile - travail habituel;45;2015
751008;Marseille Saint-Charles;Déplacement domicile - étude (y compris stage);17;2016
751008;Marseille Saint-Charles;Démarches administratives, médicales ou achat;3;2016
762906;Lyon Saint Exupery TGV;Démarches administratives, médicales ou achat;1;2019
751008;Marseille Saint-Charles;Déplacement domicile - travail habituel;35;2016
747006;Grenoble;Loisirs, vacances, visite d'un proche ou ami;21;2018
757625;Cannes;Déplacement domicile - travail habituel;29;2018
755009;Toulon;Déplacement domicile - travail habituel;15;2017
757625;Cannes;Déplacement professionnel occasionnel;5;2018
756056;Nice;Déplacement domicile - travail habituel;33;2017
763029;Valence TGV Rhône-Alpes Sud;;0;2018
686006;Paris Gare de Lyon;Déplacement domicile - étude (y compris stage);9;2015
686006;Paris Gare de Lyon;Loisirs, vacances, visite d'un proche ou ami;29;2015
686006;Paris Gare de Lyon;Déplacement domicile - travail habituel;37;2015
673400;Biarritz;Déplacement domicile - étude (y compris stage);10;2019
747006;Grenoble;Démarches administratives, médicales ou achat;3;2018
677005;Hendaye;Déplacement domicile - étude (y compris stage);9;2019
673004;Bayonne;Déplacement domicile - étude (y compris stage);17;2016
673400;Biarritz;Déplacement domicile - travail habituel;12;2019
747006;Grenoble;Déplacement professionnel occasionnel;14;2018
673004;Bayonne;Déplacement domicile - travail habituel;22;2016
391003;Paris Montparnasse 1 et 2 + Vaugirard;Déplacement domicile - étude (y compris stage);6;2015
763029;Valence TGV Rhône-Alpes Sud;Déplacement domicile - étude (y compris stage);4;2018
763029;Valence TGV Rhône-Alpes Sud;Démarches administratives, médicales ou achat;1;2018
300863;Besançon Franche-Comté TGV;Loisirs, vacances, visite d'un proche ou ami;25;2018
773002;Montpellier Saint-Roch;Démarches administratives, médicales ou achat;4;2018
773002;Montpellier Saint-Roch;Loisirs, vacances, visite d'un proche ou ami;37;2018
775007;Nîmes;Déplacement domicile - étude (y compris stage);16;2017
111849;Marne la Vallée Chessy;Déplacement domicile - travail habituel;12;2016
111849;Marne la Vallée Chessy;Déplacement professionnel occasionnel;34;2016
113001;Paris Est;Déplacement professionnel occasionnel;14;2015
141002;Nancy;Déplacement domicile - travail habituel;26;2017
;Paris Bercy;Déplacement domicile - étude (y compris stage);6;2015
113001;Paris Est;;6;2015
391003;Paris Montparnasse 1 et 2 + Vaugirard;Déplacement professionnel occasionnel;26;2015
484006;Angers Saint Laud;Déplacement domicile - étude (y compris stage);12;2018
411017;Rouen Rive Droite;Loisirs, vacances, visite d'un proche ou ami;19;2017
547000;Paris Austerlitz;Démarches administratives, médicales ou achat;3;2016
384008;Paris St Lazare;Déplacement domicile - étude (y compris stage);10;2016
384008;Paris St Lazare;Déplacement professionnel occasionnel;6;2016
444000;Caen;Loisirs, vacances, visite d'un proche ou ami;22;2015
396002;Le Mans;Déplacement professionnel occasionnel;20;2018
481002;Nantes;Déplacement professionnel occasionnel;22;2017
481002;Nantes;;2;2017
751008;Marseille Saint-Charles;Loisirs, vacances, visite d'un proche ou ami;28;2016
718007;Besançon-Viotte;Déplacement domicile - travail habituel;40;2015
718007;Besançon-Viotte;Déplacement professionnel occasionnel;21;2015
755009;Toulon;Déplacement domicile - étude (y compris stage);16;2017
713040;Dijon;Déplacement domicile - étude (y compris stage);23;2018
713040;Dijon;Loisirs, vacances, visite d'un proche ou ami;26;2018
747006;Grenoble;Déplacement domicile - travail habituel;46;2018
677005;Hendaye;Déplacement professionnel occasionnel;14;2019
713040;Dijon;Déplacement domicile - travail habituel;23;2018
686006;Paris Gare de Lyon;;0;2015
773002;Montpellier Saint-Roch;Déplacement domicile - travail habituel;21;2018
784009;Perpignan;Démarches administratives, médicales ou achat;6;2019
784009;Perpignan;Loisirs, vacances, visite d'un proche ou ami;47;2019
755009;Toulon;Loisirs, vacances, visite d'un proche ou ami;56;2017
757625;Cannes;Démarches administratives, médicales ou achat;4;2018
775007;Nîmes;Loisirs, vacances, visite d'un proche ou ami;37;2017
784009;Perpignan;Déplacement professionnel occasionnel;17;2019
775007;Nîmes;Déplacement professionnel occasionnel;19;2017
271494;Aéroport Charles de Gaulle 2 TGV;Déplacement domicile - travail habituel;8;2016
300863;Besançon Franche-Comté TGV;Déplacement domicile - étude (y compris stage);15;2018
384008;Paris St Lazare;Démarches administratives, médicales ou achat;4;2016
384008;Paris St Lazare;Déplacement domicile - travail habituel;65;2016
286005;Lille Flandres;Déplacement professionnel occasionnel;15;2016
223263;Lille Europe;Déplacement professionnel occasionnel;29;2016
