UIC;Gare enquêtée;Classe d'âge;Pourcentage;Année
118000;Troyes;50 ans à 59 ans;14.9;2017
271494;Aéroport Charles de Gaulle 2 TGV;30 ans à 39 ans;7.55;2015
319012;Aix en Provence-TGV;20 ans à 29 ans;17.6;2017
484006;Angers Saint Laud;30 ans à 39 ans;13.1;2017
484006;Angers Saint Laud;40 ans à 49 ans;16.8;2017
484006;Angers Saint Laud;20 ans à 29 ans;20.1;2017
583005;Angoulême;19 ans et moins;18.1;2014
583005;Angoulême;Non communiqué;2.48;2014
313874;Amiens;30 ans à 39 ans;8.86;2017
753657;Arles;60 ans et plus;19.9;2016
391003;Paris Montparnasse 1 et 2 + Vaugirard;20 ans à 29 ans;25.3;2014
391003;Paris Montparnasse 1 et 2 + Vaugirard;Non communiqué;4.84;2014
686006;Paris Gare de Lyon;30 ans à 39 ans;21.0;2014
411017;Rouen Rive Droite;30 ans à 39 ans;15.9;2016
212027;Strasbourg;30 ans à 39 ans;7.67;2012
271007;Paris Nord;20 ans à 29 ans;26.1;2014
575001;Poitiers;50 ans à 59 ans;13.8;2017
575001;Poitiers;20 ans à 29 ans;26.8;2017
471003;Rennes;40 ans à 49 ans;16.3;2016
471003;Rennes;Non communiqué;0.41;2016
718007;Besançon-Viotte;Non communiqué;100.0;2014
444877;Cherbourg;50 ans à 59 ans;16.0;2017
673400;Biarritz;50 ans à 59 ans;7.82;2018
747006;Grenoble;60 ans et plus;10.1;2017
677005;Hendaye;30 ans à 39 ans;9.44;2018
757625;Cannes;40 ans à 49 ans;12.5;2017
182014;Colmar;60 ans et plus;7.74;2019
478404;Laval;20 ans à 29 ans;23.9;2013
444000;Caen;30 ans à 39 ans;16.0;2014
444000;Caen;40 ans à 49 ans;11.4;2014
111849;Marne la Vallée Chessy;50 ans à 59 ans;2.05;2015
773002;Montpellier Saint-Roch;50 ans à 59 ans;13.5;2017
751008;Marseille Saint-Charles;40 ans à 49 ans;15.3;2015
751008;Marseille Saint-Charles;19 ans et moins;13.7;2015
722025;Lyon Perrache;40 ans à 49 ans;18.2;2013
722025;Lyon Perrache;60 ans et plus;10.1;2013
393702;Massy TGV;19 ans et moins;5.08;2015
393702;Massy TGV;60 ans et plus;10.1;2015
141002;Nancy;19 ans et moins;23.5;2016
192039;Metz;50 ans à 59 ans;13.6;2018
763029;Valence TGV Rhône-Alpes Sud;30 ans à 39 ans;17.8;2017
611004;Toulouse Matabiau;30 ans à 39 ans;17.2;2016
212027;Strasbourg;50 ans à 59 ans;13.5;2018
212027;Strasbourg;20 ans à 29 ans;26.5;2018
212027;Strasbourg;19 ans et moins;21.6;2018
212027;Strasbourg;60 ans et plus;9.0;2018
755009;Toulon;40 ans à 49 ans;10.9;2016
571000;Tours;30 ans à 39 ans;10.9;2018
571000;Tours;50 ans à 59 ans;14.6;2018
571000;Tours;20 ans à 29 ans;24.7;2018
723197;Lyon Part Dieu;19 ans et moins;10.4;2013
723197;Lyon Part Dieu;60 ans et plus;7.89;2013
142109;Lorraine TGV;30 ans à 39 ans;14.7;2019
396002;Le Mans;40 ans à 49 ans;17.5;2017
476002;Lorient;40 ans à 49 ans;15.3;2012
478404;Laval;30 ans à 39 ans;16.1;2013
478404;Laval;50 ans à 59 ans;14.6;2013
345025;Lens;30 ans à 39 ans;16.9;2018
345025;Lens;50 ans à 59 ans;9.51;2018
345025;Lens;20 ans à 29 ans;30.1;2018
547000;Paris Austerlitz;50 ans à 59 ans;17.9;2015
547000;Paris Austerlitz;19 ans et moins;4.6;2015
547000;Paris Austerlitz;60 ans et plus;13.5;2015
113001;Paris Est;20 ans à 29 ans;23.7;2014
113001;Paris Est;60 ans et plus;7.7;2014
481002;Nantes;40 ans à 49 ans;17.5;2016
775007;Nîmes;20 ans à 29 ans;24.4;2016
756056;Nice;40 ans à 49 ans;13.7;2016
;Paris Bercy;19 ans et moins;1.89;2014
;Paris Bercy;60 ans et plus;16.9;2014
271494;Aéroport Charles de Gaulle 2 TGV;Non communiqué;70.8;2015
300863;Besançon Franche-Comté TGV;20 ans à 29 ans;20.7;2017
300863;Besançon Franche-Comté TGV;60 ans et plus;16.7;2017
300822;Belfort Montbéliard TGV;20 ans à 29 ans;19.4;2017
318964;Avignon TGV;30 ans à 39 ans;16.5;2017
318964;Avignon TGV;19 ans et moins;5.8;2017
583005;Angoulême;40 ans à 49 ans;11.7;2014
673004;Bayonne;19 ans et moins;14.5;2015
753657;Arles;30 ans à 39 ans;13.2;2016
271494;Aéroport Charles de Gaulle 2 TGV;19 ans et moins;0.93;2015
300822;Belfort Montbéliard TGV;50 ans à 59 ans;19.9;2017
318964;Avignon TGV;40 ans à 49 ans;16.0;2017
318964;Avignon TGV;50 ans à 59 ans;16.3;2017
673004;Bayonne;30 ans à 39 ans;14.9;2015
313874;Amiens;50 ans à 59 ans;8.05;2017
313874;Amiens;19 ans et moins;34.5;2017
753657;Arles;40 ans à 49 ans;17.7;2016
313874;Amiens;60 ans et plus;6.51;2017
300863;Besançon Franche-Comté TGV;19 ans et moins;10.1;2017
300863;Besançon Franche-Comté TGV;40 ans à 49 ans;18.5;2017
581009;Bordeaux Saint-Jean;60 ans et plus;13.7;2016
747006;Grenoble;30 ans à 39 ans;16.2;2017
747006;Grenoble;40 ans à 49 ans;16.7;2017
747006;Grenoble;50 ans à 59 ans;17.2;2017
444877;Cherbourg;60 ans et plus;15.9;2017
673400;Biarritz;60 ans et plus;35.1;2018
677005;Hendaye;19 ans et moins;9.28;2018
444000;Caen;60 ans et plus;11.9;2014
391003;Paris Montparnasse 1 et 2 + Vaugirard;30 ans à 39 ans;18.0;2014
391003;Paris Montparnasse 1 et 2 + Vaugirard;40 ans à 49 ans;17.5;2014
384008;Paris St Lazare;40 ans à 49 ans;17.9;2015
384008;Paris St Lazare;50 ans à 59 ans;14.7;2015
271007;Paris Nord;40 ans à 49 ans;16.6;2014
271007;Paris Nord;Non communiqué;14.6;2014
784009;Perpignan;50 ans à 59 ans;14.9;2018
575001;Poitiers;30 ans à 39 ans;13.1;2017
784009;Perpignan;60 ans et plus;22.0;2018
212027;Strasbourg;40 ans à 49 ans;8.33;2012
212027;Strasbourg;50 ans à 59 ans;6.72;2012
212027;Strasbourg;30 ans à 39 ans;14.8;2018
212027;Strasbourg;40 ans à 49 ans;14.6;2018
212027;Strasbourg;20 ans à 29 ans;18.0;2012
212027;Strasbourg;19 ans et moins;8.12;2012
755009;Toulon;30 ans à 39 ans;14.0;2016
755009;Toulon;50 ans à 59 ans;11.1;2016
111849;Marne la Vallée Chessy;40 ans à 49 ans;4.02;2015
111849;Marne la Vallée Chessy;30 ans à 39 ans;4.4;2015
762906;Lyon Saint Exupery TGV;60 ans et plus;10.0;2018
723197;Lyon Part Dieu;30 ans à 39 ans;17.6;2013
723197;Lyon Part Dieu;50 ans à 59 ans;13.7;2013
722025;Lyon Perrache;50 ans à 59 ans;16.0;2013
722025;Lyon Perrache;Non communiqué;0.32;2013
393702;Massy TGV;30 ans à 39 ans;19.3;2015
476002;Lorient;30 ans à 39 ans;14.8;2012
192039;Metz;Non communiqué;0.16;2013
286005;Lille Flandres;40 ans à 49 ans;15.9;2015
286005;Lille Flandres;20 ans à 29 ans;32.1;2015
286005;Lille Flandres;Non communiqué;0.11;2015
223263;Lille Europe;40 ans à 49 ans;18.7;2015
396002;Le Mans;30 ans à 39 ans;13.9;2017
396002;Le Mans;50 ans à 59 ans;19.4;2017
677005;Hendaye;40 ans à 49 ans;12.6;2018
396002;Le Mans;19 ans et moins;15.4;2017
478404;Laval;40 ans à 49 ans;15.2;2013
345025;Lens;60 ans et plus;6.96;2018
773002;Montpellier Saint-Roch;40 ans à 49 ans;11.9;2017
773002;Montpellier Saint-Roch;20 ans à 29 ans;29.8;2017
773002;Montpellier Saint-Roch;Non communiqué;0.13;2017
182063;Mulhouse;40 ans à 49 ans;12.6;2016
141002;Nancy;60 ans et plus;10.8;2016
192039;Metz;19 ans et moins;14.2;2013
192039;Metz;50 ans à 59 ans;15.8;2013
192039;Metz;30 ans à 39 ans;17.1;2018
192039;Metz;60 ans et plus;9.9;2013
192039;Metz;60 ans et plus;11.5;2018
547000;Paris Austerlitz;40 ans à 49 ans;17.5;2015
547000;Paris Austerlitz;Non communiqué;2.2;2015
113001;Paris Est;30 ans à 39 ans;17.5;2014
113001;Paris Est;19 ans et moins;7.94;2014
113001;Paris Est;Non communiqué;12.2;2014
