UIC;Gare enquêtée;Distance parcourue;Répartition;Année
773002;Montpellier Saint-Roch;10 à 15 km;2;2017
271494;Aéroport Charles de Gaulle 2 TGV;Plus de 100 km;4;2015
271494;Aéroport Charles de Gaulle 2 TGV;15 à 20 km;8;2015
271494;Aéroport Charles de Gaulle 2 TGV;10 à 15 km;12;2015
271494;Aéroport Charles de Gaulle 2 TGV;08 à 10 km;5;2015
286005;Lille Flandres;Moins de 2 km;87;2015
212027;Strasbourg;Plus de 100 km;2;2018
286005;Lille Flandres;08 à 10 km;2;2015
182063;Mulhouse;Moins de 2 km;73;2016
192039;Metz;20 à 30 km;5;2018
192039;Metz;06 à 08 km;2;2018
384008;Paris St Lazare;Plus de 100 km;1;2015
411017;Rouen Rive Droite;50 à 100 km;3;2016
411017;Rouen Rive Droite;08 à 10 km;1;2016
411017;Rouen Rive Droite;20 à 30 km;3;2016
384008;Paris St Lazare;10 à 15 km;4;2015
393702;Massy TGV;04 à 06 km;3;2015
393702;Massy TGV;08 à 10 km;9;2015
396002;Le Mans;15 à 20 km;3;2017
396002;Le Mans;02 à 04 km;0;2017
444000;Caen;02 à 04 km;7;2014
484006;Angers Saint Laud;Plus de 100 km;3;2017
484006;Angers Saint Laud;50 à 100 km;4;2017
484006;Angers Saint Laud;15 à 20 km;3;2017
484006;Angers Saint Laud;20 à 30 km;4;2017
547000;Paris Austerlitz;30 à 50 km;2;2015
478404;Laval;Plus de 100 km;1;2013
481002;Nantes;08 à 10 km;5;2016
481002;Nantes;30 à 50 km;2;2016
571000;Tours;06 à 08 km;6;2018
571000;Tours;08 à 10 km;1;2018
319012;Aix en Provence-TGV;08 à 10 km;4;2017
384008;Paris St Lazare;08 à 10 km;8;2015
318964;Avignon TGV;02 à 04 km;2;2017
318964;Avignon TGV;06 à 08 km;4;2017
318964;Avignon TGV;08 à 10 km;3;2017
313874;Amiens;Moins de 2 km;83;2017
313874;Amiens;20 à 30 km;2;2017
313874;Amiens;30 à 50 km;2;2017
345025;Lens;02 à 04 km;19;2018
345025;Lens;08 à 10 km;4;2018
300863;Besançon Franche-Comté TGV;Plus de 100 km;3;2017
300863;Besançon Franche-Comté TGV;15 à 20 km;6;2017
111849;Marne la Vallée Chessy;50 à 100 km;2;2015
111849;Marne la Vallée Chessy;02 à 04 km;73;2015
271494;Aéroport Charles de Gaulle 2 TGV;30 à 50 km;12;2015
